"Total","LogProb","PValue","Limited","FDR","empty","barcode"
9942,-13898.1012122065,9.99900009999e-05,TRUE,0,0,"bcIFPB"
9869,-13784.4293625458,9.99900009999e-05,TRUE,0,0,"bcEDIL"
10071,-19035.8094933662,9.99900009999e-05,TRUE,0,0,"bcHETL"
8857,-6896.45765569121,9.99900009999e-05,TRUE,0,0,"bcCFNA"
10486,-16565.4912430378,9.99900009999e-05,TRUE,0,0,"bcALQT"
9405,-10885.4814349071,9.99900009999e-05,TRUE,0,0,"bcCGAK"
10916,-17198.4135418292,9.99900009999e-05,TRUE,0,0,"bcEYFR"
9239,-12144.8194492757,9.99900009999e-05,TRUE,0,0,"bcFIKB"
9559,-13359.1586216176,9.99900009999e-05,TRUE,0,0,"bcFVYJ"
9878,-13798.3403522797,9.99900009999e-05,TRUE,0,0,"bcDJIY"
10033,-14983.7908245457,9.99900009999e-05,TRUE,0,0,"bcGZTA"
9582,-13947.4161659395,9.99900009999e-05,TRUE,0,0,"bcFPJR"
9711,-18806.2490341634,9.99900009999e-05,TRUE,0,0,"bcEWAW"
9973,-14094.3001643218,9.99900009999e-05,TRUE,0,0,"bcBHHN"
10283,-15005.7367788807,9.99900009999e-05,TRUE,0,0,"bcFSUF"
9363,-10659.9999915403,9.99900009999e-05,TRUE,0,0,"bcCLWW"
9481,-14868.7563414892,9.99900009999e-05,TRUE,0,0,"bcEYDN"
9640,-15054.6469862068,9.99900009999e-05,TRUE,0,0,"bcFLDJ"
9210,-12748.2813855111,9.99900009999e-05,TRUE,0,0,"bcEHBV"
9455,-12674.751096645,9.99900009999e-05,TRUE,0,0,"bcBZYR"
9567,-13684.1432169519,9.99900009999e-05,TRUE,0,0,"bcFQMI"
10201,-15218.1933205729,9.99900009999e-05,TRUE,0,0,"bcAFGC"
9100,-12534.2172361483,9.99900009999e-05,TRUE,0,0,"bcDOOB"
9927,-18149.9000053059,9.99900009999e-05,TRUE,0,0,"bcFQSQ"
9541,-15342.2466437864,9.99900009999e-05,TRUE,0,0,"bcEKYN"
9235,-14323.8776850352,9.99900009999e-05,TRUE,0,0,"bcFNAT"
9563,-15662.5037967831,9.99900009999e-05,TRUE,0,0,"bcHZRB"
9350,-15368.1037877045,9.99900009999e-05,TRUE,0,0,"bcDGTB"
9015,-12270.2005198614,9.99900009999e-05,TRUE,0,0,"bcHDGR"
9765,-13328.3165436209,9.99900009999e-05,TRUE,0,0,"bcHXHL"
9427,-14724.4501613524,9.99900009999e-05,TRUE,0,0,"bcHGFC"
8489,-12781.6006260787,9.99900009999e-05,TRUE,0,0,"bcCTVS"
9578,-15320.3379424267,9.99900009999e-05,TRUE,0,0,"bcCQXO"
9169,-11491.6567221299,9.99900009999e-05,TRUE,0,0,"bcIKAR"
9756,-14065.6471410373,9.99900009999e-05,TRUE,0,0,"bcAKPW"
9491,-13424.6804877678,9.99900009999e-05,TRUE,0,0,"bcHLXL"
9821,-13853.7915077547,9.99900009999e-05,TRUE,0,0,"bcBRCF"
9134,-13017.6796040698,9.99900009999e-05,TRUE,0,0,"bcFAPG"
10072,-11640.9118991736,9.99900009999e-05,TRUE,0,0,"bcBXXH"
8911,-12863.4148943961,9.99900009999e-05,TRUE,0,0,"bcFFLJ"
9601,-15122.5375474847,9.99900009999e-05,TRUE,0,0,"bcERSL"
9815,-13561.9631964374,9.99900009999e-05,TRUE,0,0,"bcHXLM"
10040,-14224.4602565952,9.99900009999e-05,TRUE,0,0,"bcBFPM"
9254,-14162.4322177973,9.99900009999e-05,TRUE,0,0,"bcHEKO"
9043,-13141.9054428669,9.99900009999e-05,TRUE,0,0,"bcHTRP"
9443,-13906.7721006267,9.99900009999e-05,TRUE,0,0,"bcEFUS"
9046,-9567.59230631268,9.99900009999e-05,TRUE,0,0,"bcEZPP"
9139,-12360.0307826989,9.99900009999e-05,TRUE,0,0,"bcGQMB"
9276,-14122.0918657961,9.99900009999e-05,TRUE,0,0,"bcAJOA"
9463,-13789.4495083738,9.99900009999e-05,TRUE,0,0,"bcEYHO"
9379,-12371.9252100499,9.99900009999e-05,TRUE,0,0,"bcIAMC"
9768,-13845.2801754621,9.99900009999e-05,TRUE,0,0,"bcDDWJ"
9821,-16656.8187251641,9.99900009999e-05,TRUE,0,0,"bcCMBK"
9335,-15577.6068472719,9.99900009999e-05,TRUE,0,0,"bcHOCK"
8932,-13374.0626018911,9.99900009999e-05,TRUE,0,0,"bcHLLY"
9141,-12671.0771752754,9.99900009999e-05,TRUE,0,0,"bcGISD"
9263,-15008.0761628582,9.99900009999e-05,TRUE,0,0,"bcHLRA"
8995,-14292.1075129534,9.99900009999e-05,TRUE,0,0,"bcHRDH"
9713,-13042.6283175515,9.99900009999e-05,TRUE,0,0,"bcCDUZ"
9187,-13062.4987759107,9.99900009999e-05,TRUE,0,0,"bcGSQZ"
8998,-14510.8369204199,9.99900009999e-05,TRUE,0,0,"bcACDZ"
8778,-11119.9330251613,9.99900009999e-05,TRUE,0,0,"bcFPBV"
9143,-12371.581229193,9.99900009999e-05,TRUE,0,0,"bcABBJ"
8711,-13644.0361398103,9.99900009999e-05,TRUE,0,0,"bcIETX"
8980,-13683.0070705016,9.99900009999e-05,TRUE,0,0,"bcEIHW"
9715,-12893.450873123,9.99900009999e-05,TRUE,0,0,"bcGDMF"
8986,-12317.1097349794,9.99900009999e-05,TRUE,0,0,"bcEMCV"
9541,-13767.7018127133,9.99900009999e-05,TRUE,0,0,"bcDAOJ"
9403,-15843.9026971317,9.99900009999e-05,TRUE,0,0,"bcFSEW"
8796,-11659.0818440536,9.99900009999e-05,TRUE,0,0,"bcGQOS"
8925,-14546.1792809748,9.99900009999e-05,TRUE,0,0,"bcFYVE"
9371,-12870.9670697156,9.99900009999e-05,TRUE,0,0,"bcEFXE"
9422,-12595.6871500423,9.99900009999e-05,TRUE,0,0,"bcCKPV"
9241,-15329.8351544185,9.99900009999e-05,TRUE,0,0,"bcEQLC"
9326,-12375.6237412645,9.99900009999e-05,TRUE,0,0,"bcCOUW"
8966,-11817.757092741,9.99900009999e-05,TRUE,0,0,"bcDZDE"
9254,-14215.9670163874,9.99900009999e-05,TRUE,0,0,"bcCPNN"
9706,-16152.3804556372,9.99900009999e-05,TRUE,0,0,"bcEVNJ"
9181,-11705.1730739537,9.99900009999e-05,TRUE,0,0,"bcBJVZ"
9318,-12948.0204600862,9.99900009999e-05,TRUE,0,0,"bcIABH"
9044,-14320.8341714553,9.99900009999e-05,TRUE,0,0,"bcGSYU"
9256,-12045.0906230025,9.99900009999e-05,TRUE,0,0,"bcCFHQ"
8735,-12788.1591369326,9.99900009999e-05,TRUE,0,0,"bcEZBY"
9183,-12291.7459684157,9.99900009999e-05,TRUE,0,0,"bcADWV"
9040,-14303.9366539506,9.99900009999e-05,TRUE,0,0,"bcFYYD"
9391,-16115.1172285188,9.99900009999e-05,TRUE,0,0,"bcECOZ"
9269,-13644.0672771368,9.99900009999e-05,TRUE,0,0,"bcCXKF"
9196,-15651.8626834709,9.99900009999e-05,TRUE,0,0,"bcBMFS"
9047,-11246.867627355,9.99900009999e-05,TRUE,0,0,"bcGZXL"
9233,-12565.4378163482,9.99900009999e-05,TRUE,0,0,"bcCIZS"
8998,-16032.711025616,9.99900009999e-05,TRUE,0,0,"bcHANQ"
9499,-14848.7286557243,9.99900009999e-05,TRUE,0,0,"bcEUEM"
8977,-12742.3347385549,9.99900009999e-05,TRUE,0,0,"bcEYZH"
9134,-12267.5148942895,9.99900009999e-05,TRUE,0,0,"bcEZZG"
9688,-16332.4332689543,9.99900009999e-05,TRUE,0,0,"bcGYLT"
8943,-13452.0533474735,9.99900009999e-05,TRUE,0,0,"bcFOEE"
8593,-11119.1389079099,9.99900009999e-05,TRUE,0,0,"bcDHAB"
9633,-13833.975289691,9.99900009999e-05,TRUE,0,0,"bcDGLW"
8635,-12677.1744648072,9.99900009999e-05,TRUE,0,0,"bcHTVA"
8997,-12707.3449627943,9.99900009999e-05,TRUE,0,0,"bcHKSE"
8896,-10701.3190055554,9.99900009999e-05,TRUE,0,0,"bcGHBX"
8823,-11589.2100017747,9.99900009999e-05,TRUE,0,0,"bcBOHT"
8876,-9504.25983305724,9.99900009999e-05,TRUE,0,0,"bcFISL"
9045,-13339.5752591153,9.99900009999e-05,TRUE,0,0,"bcBIVA"
8638,-10169.061651056,9.99900009999e-05,TRUE,0,0,"bcHPAB"
9324,-13831.6839311989,9.99900009999e-05,TRUE,0,0,"bcAYDC"
8719,-11992.1653752878,9.99900009999e-05,TRUE,0,0,"bcAJOY"
9053,-13486.4178616135,9.99900009999e-05,TRUE,0,0,"bcHNJA"
8483,-14264.0066459816,9.99900009999e-05,TRUE,0,0,"bcEYDD"
8395,-12363.8567431511,9.99900009999e-05,TRUE,0,0,"bcEODP"
8967,-14707.0488258215,9.99900009999e-05,TRUE,0,0,"bcBIKI"
8865,-18686.1987289802,9.99900009999e-05,TRUE,0,0,"bcEDFB"
9109,-12635.7823524964,9.99900009999e-05,TRUE,0,0,"bcDOQI"
9283,-16268.7369050503,9.99900009999e-05,TRUE,0,0,"bcEDUK"
8813,-13886.500698072,9.99900009999e-05,TRUE,0,0,"bcHBOA"
8840,-13055.5359667072,9.99900009999e-05,TRUE,0,0,"bcGLLV"
8605,-17398.5234327654,9.99900009999e-05,TRUE,0,0,"bcEHFU"
8714,-13096.8221608052,9.99900009999e-05,TRUE,0,0,"bcDWWD"
9025,-13943.477946883,9.99900009999e-05,TRUE,0,0,"bcAHUF"
9062,-14293.0349024724,9.99900009999e-05,TRUE,0,0,"bcDRMH"
9345,-15429.7766366719,9.99900009999e-05,TRUE,0,0,"bcDUFE"
8810,-11235.0616119429,9.99900009999e-05,TRUE,0,0,"bcGYTA"
9342,-14816.0334744622,9.99900009999e-05,TRUE,0,0,"bcHHYG"
8962,-12464.6192709029,9.99900009999e-05,TRUE,0,0,"bcBPBG"
8699,-15555.218878302,9.99900009999e-05,TRUE,0,0,"bcFXEX"
8777,-12783.3545295593,9.99900009999e-05,TRUE,0,0,"bcHIQP"
